SN,Questions ,Top 5 retreived Document indexes
1,What are the variety of Multimodal and Multi-modular AI Approaches to Streamline Autism Diagnosis in Young Children,"11, 4, 3, 7, 10"
2,"What is Autism Spectrum Disorder, how it is caysed?","11, 3, 4, 14, 10"
3,What is the cure of Autism Spectrum Disorder,"11, 3, 4, 14, 10"
4,"What are Stereotypical and maladaptive behaviors in Autism Spectrum, how are these detected and managed","11, 7, 3, 14, 4"
5,How relevant is eye contact and how it can be used to detect Autism,"10, 3, 11, 7, 1"
6,How can cross country trials help in development of Machine learning based Multimodal solutions ,"3, 8, 1, 6, 4"
7,How early infants cry can help in the early detection of Autism ,"11, 3, 14, 4, 5"
8,What are various methods to detect  Atypical Pattern of Facial expression in Children ,"14, 6, 1, 7, 11"
9,What kind of facial expressions can be used to detect Autism Disorder in children,"14, 6, 3, 11, 7"
10,What are methods to detect Autism from home videos ,"11, 3, 14, 4, 7"
11,What is Still-Face Paradigm in Early Screening for High-Risk Autism Spectrum Disorder,"10, 11, 3, 14, 1"
12,What is West Syndrome? ,"2, 10, 9, 14, 13"
13,What is the utility of Behavior and interaction imaging at 9 months of age predict autism/intellectual disability in high-risk infants with West syndrome,"3, 2, 4, 11, 10"
